description,price,address,images,sourceUrl,source,listedDate,governorate,originalArea,area,pricePerSqFt,propertyType,zoning,originalPrice,coordinates,image_list,nearWater,roadAccess,utilities
Location Annuelle,1650,"Nabeul, il y a 5 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=12/1273f932-769f-4a64-8019-91c20f47907f&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062663c1f8f57898ddd591/Appartements/Nabeul/Hammamet_Nord/Location_Annuelle_/,tayara.tn,2025-04-21,Nabeul,,,,autre,unknown,1 650 DT,"[10.1815, 36.8065]",['https://www.tayara.tn/mediaGateway/resize-image?img=12/1273f932-769f-4a64-8019-91c20f47907f&w=300'],False,True,True
S+2 pour la vente,250000,"Sousse, il y a 6 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=6c/6cf0103b-d0d2-4e1f-97f1-9629f741df3d&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/6806264ac1f8f57898ddd575/Appartements/Sousse/Hergla/S2_pour_la_vente_/,tayara.tn,2025-04-21,Sousse,,,,autre,unknown,250 000 DT,"[10.637343544275604, 35.834013949843914]",['https://www.tayara.tn/mediaGateway/resize-image?img=6c/6cf0103b-d0d2-4e1f-97f1-9629f741df3d&w=100&w=300'],False,True,True
Bureau privé,1200,"Tunis, il y a 7 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=f0/f0da6eb9-c3e0-4ed4-9b68-50712ebcca3c&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/6806261cc1f8f57898ddd549/Bureaux%20et%20Plateaux/Tunis/El_Manar_1/Bureau_priv/,tayara.tn,2025-04-21,Tunis,,,,autre,unknown,1 200 DT,"[10.190381347108175, 36.80974328865517]",['https://www.tayara.tn/mediaGateway/resize-image?img=f0/f0da6eb9-c3e0-4ed4-9b68-50712ebcca3c&w=300'],False,True,True
Appart s2 trésor à louer à La Marsa,2200,"Tunis, il y a 7 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=ff/ff8d5396-aa38-4c85-b8e7-8639cf59eb83&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/680625fec1f8f57898ddd520/Appartements/Tunis/La_Marsa/Appart_s2_trsor_louer_La_Marsa/,tayara.tn,2025-04-21,Tunis,,,,autre,unknown,2 200 DT,"[10.183864398779068, 36.808346379209965]",['https://www.tayara.tn/mediaGateway/resize-image?img=ff/ff8d5396-aa38-4c85-b8e7-8639cf59eb83&w=100&w=300'],False,True,True
"A vendre appartement S+2 vue sur mer à kélibia, kerkouane",180000,"Nabeul, il y a 7 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=5f/5fbbc899-a490-4939-9dda-eea0da39c40c&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/67ac81f50b5f1b5530fa8aab/Appartements/Nabeul/Klibia/A_vendre_appartement_S2_vue_sur_mer_klibia_kerkouane/,tayara.tn,2025-04-21,Nabeul,,,,autre,residential,180 000 DT,"[10.1815, 36.8065]",['https://www.tayara.tn/mediaGateway/resize-image?img=5f/5fbbc899-a490-4939-9dda-eea0da39c40c&w=100&w=300'],True,True,True
Appartement s+2 haut standing à vendre,195000,"Nabeul, il y a 7 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=5a/5ac8ca72-e072-4845-9b8c-19a9bd88b0f1&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/67e2ab1eca3467b14e6ca67d/Appartements/Nabeul/Klibia/Appartement_s2_haut_standing_vendre_/,tayara.tn,2025-04-21,Nabeul,,,,autre,residential,195 000 DT,"[10.1815, 36.8065]",['https://www.tayara.tn/mediaGateway/resize-image?img=5a/5ac8ca72-e072-4845-9b8c-19a9bd88b0f1&w=100&w=300'],False,True,True
Appart S+2 meublé à Ennasr 2 Hedi Nouira,1200,"Ariana, il y a 8 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=85/85bc144c-7aea-47c5-b1ee-e142eca74e1c&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/680625dfc1f8f57898ddd4f8/Appartements/Ariana/Cit_Ennasr_2/Appart_S2_meubl_Ennasr_2_Hedi_Nouira/,tayara.tn,2025-04-21,Ariana,2.0,22.0,54.55,autre,unknown,1 200 DT,"[10.199468327785349, 36.85350512781843]",['https://www.tayara.tn/mediaGateway/resize-image?img=85/85bc144c-7aea-47c5-b1ee-e142eca74e1c&w=300'],False,True,True
appartement 3 pieces,950000,"Tunis, il y a 8 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=98/989520e0-34ba-4a2f-a9ff-d5511d3d69b2&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/680625d4c1f8f57898ddd4e1/Appartements/Tunis/Tunis/appartement_3_pieces/,tayara.tn,2025-04-21,Tunis,,,,autre,residential,950 000 DT,"[10.189212419639345, 36.81640443059352]",['https://www.tayara.tn/mediaGateway/resize-image?img=98/989520e0-34ba-4a2f-a9ff-d5511d3d69b2&w=300'],False,True,True
location ennasr2 local commercial 200²,5490,"Ariana, il y a 9 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=43/4318c454-26d2-480e-9917-60dc24559961.png&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062578c5beda2b51cbe08b/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Ariana/Ennasr/location_ennasr2_local_commercial_200/,tayara.tn,2025-04-21,Ariana,,,,autre,commercial,5 490 DT,"[10.192624989629255, 36.871196770331586]",['https://www.tayara.tn/mediaGateway/resize-image?img=43/4318c454-26d2-480e-9917-60dc24559961.png&w=100&w=300'],True,True,True
A Vendre Appartement S3 à L'Aouina,250000,"Tunis, il y a 9 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=e9/e9c129ce-fab3-4210-aed2-2054140f4459&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062570c5beda2b51cbe081/Appartements/Tunis/L_Aouina/A_Vendre_Appartement_S3_LAouina/,tayara.tn,2025-04-21,Tunis,,,,autre,residential,250 000 DT,"[10.171694457153022, 36.81217324937166]",['https://www.tayara.tn/mediaGateway/resize-image?img=e9/e9c129ce-fab3-4210-aed2-2054140f4459&w=100&w=300'],False,True,True
